date,Company Name,Symbol,author,Sector,expected_return,actual_return
2015-11-16,speciality restaurants limited,SPECIALITY,Karvy,Technology,9.43242139648836,-0.0180327868852459
2015-08-13,speciality restaurants limited,SPECIALITY,Reliance Securities,Technology,7.18954248366013,0.0180645161290323
2024-05-17,eicher motors limited,EICHERMOT,BOB Capital Markets Ltd.,Manufacturing,-1.29742857751549,0.0308172043010753
2024-05-13,eicher motors limited,EICHERMOT,ICICI Direct,Manufacturing,18.0903713405404,0.0011890988558941
2024-05-13,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,10.25346487885,0.0011890988558941
2024-05-12,eicher motors limited,EICHERMOT,Emkay,Manufacturing,-27.0049486350999,0.0011890988558941
2024-02-14,eicher motors limited,EICHERMOT,Prabhudas Lilladhar,Manufacturing,5.08644000461355,-0.0175800256081946
2024-02-14,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,8.93106585844087,-0.0175800256081946
2024-02-13,eicher motors limited,EICHERMOT,BOB Capital Markets Ltd.,Manufacturing,4.95044367183852,-0.0012783720323506
2023-11-20,eicher motors limited,EICHERMOT,Geojit BNP Paribas,Manufacturing,12.6493260018979,-0.0099094437257439
2023-11-13,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,9.51862095940546,0.0420710219571699
2023-11-11,eicher motors limited,EICHERMOT,Prabhudas Lilladhar,Manufacturing,7.32189507872626,0.0714345403899721
2023-08-04,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,19.5076486078646,0.00870548668879
2023-08-04,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,13.110386807757,0.00870548668879
2023-05-25,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,8.25688073394496,0.0183748972321184
2023-05-12,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,16.0837517986668,-0.0162809917355371
2023-05-12,eicher motors limited,EICHERMOT,Motilal Oswal,Manufacturing,0.652170915658998,-0.0162809917355371
2023-05-12,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,7.54615522495071,-0.0162809917355371
2023-05-12,eicher motors limited,EICHERMOT,ICICI Direct,Manufacturing,14.8537785927999,-0.0162809917355371
2023-04-17,eicher motors limited,EICHERMOT,Ventura,Manufacturing,28.6466398265717,-0.0142009818345128
2023-03-23,eicher motors limited,EICHERMOT,Motilal Oswal,Manufacturing,23.817331010691,0.0081538461538461
2023-02-15,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,6.91149600591939,-0.0240994609528671
2023-02-15,eicher motors limited,EICHERMOT,ICICI Direct,Manufacturing,22.7670144813735,-0.0240994609528671
2023-02-15,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,13.042296483095,-0.0240994609528671
2022-11-21,eicher motors limited,EICHERMOT,BOB Capital Markets Ltd.,Manufacturing,4.86592079559581,0.0180301439157509
