date,Company Name,Symbol,author,Sector,expected_return,actual_return
2024-07-29,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,-10.535481062255112,-0.01186329995646493
2024-07-21,havells india limited,HAVELLS,Anand Rathi,Consumer Goods,21.3457732541702,0.03646464931329133
2024-07-19,havells india limited,HAVELLS,Keynote Capitals Ltd,Consumer Goods,-2.7424370935821316,0.03996040723981906
2024-07-19,havells india limited,HAVELLS,Prabhudas Lilladhar,Consumer Goods,11.733107152954481,0.03996040723981906
2024-06-05,havells india limited,HAVELLS,BOB Capital Markets Ltd.,Consumer Goods,-0.7139669790272174,0.011187845303867404
2024-05-06,havells india limited,HAVELLS,Keynote Capitals Ltd,Consumer Goods,4.405444126074496,0.01454112038140649
2024-05-02,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,6.677060534284767,-0.0026816840976133013
2024-05-02,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,16.331364494947977,-0.0026816840976133013
2024-05-02,havells india limited,HAVELLS,BOB Capital Markets Ltd.,Consumer Goods,6.737025155158451,-0.0026816840976133013
2024-05-02,havells india limited,HAVELLS,Anand Rathi,Consumer Goods,14.592390489611123,-0.0026816840976133013
2024-05-01,havells india limited,HAVELLS,Prabhudas Lilladhar,Consumer Goods,6.610576923076923,-0.0026816840976133013
2024-05-01,havells india limited,HAVELLS,Motilal Oswal,Consumer Goods,6.971153846153847,-0.0026816840976133013
2024-04-30,havells india limited,HAVELLS,BOB Capital Markets Ltd.,Consumer Goods,6.971153846153847,0.0030545670225386066
2024-02-05,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,11.662623623810413,-0.005149253731343352
2024-01-25,havells india limited,HAVELLS,BOB Capital Markets Ltd.,Consumer Goods,23.99736505599257,0.04413531212461739
2024-01-25,havells india limited,HAVELLS,Keynote Capitals Ltd,Consumer Goods,17.177509977912976,0.04413531212461739
2024-01-24,havells india limited,HAVELLS,BOB Capital Markets Ltd.,Consumer Goods,22.549019607843146,0.004344843356963044
2023-11-01,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,14.769292766471892,0.0016399999999999635
2023-10-20,havells india limited,HAVELLS,Keynote Capitals Ltd,Consumer Goods,20.03557755520321,-0.017763157894736877
2023-10-20,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,17.413957584207818,-0.017763157894736877
2023-10-20,havells india limited,HAVELLS,Prabhudas Lilladhar,Consumer Goods,18.952782396844423,-0.017763157894736877
2023-10-20,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,17.413957584207818,-0.017763157894736877
2023-09-27,havells india limited,HAVELLS,Prabhudas Lilladhar,Consumer Goods,9.337788362421348,0.0003898497306492448
2023-07-28,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,10.935023771790815,0.0030152671755725538
2023-07-21,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,18.689959571232524,0.015791490992717448
2023-07-21,havells india limited,HAVELLS,Prabhudas Lilladhar,Consumer Goods,12.027623249568386,0.015791490992717448
2023-07-21,havells india limited,HAVELLS,Keynote Capitals Ltd,Consumer Goods,15.173604450412432,0.015791490992717448
2023-07-20,havells india limited,HAVELLS,BOB Capital Markets Ltd.,Consumer Goods,18.689959571232524,-0.017266509698396614
2023-07-20,havells india limited,HAVELLS,Motilal Oswal,Consumer Goods,17.20633507659212,-0.017266509698396614
2023-07-18,havells india limited,HAVELLS,Motilal Oswal,Consumer Goods,18.40527577937649,-0.03692762186115214
2023-07-05,havells india limited,HAVELLS,Keynote Capitals Ltd,Consumer Goods,20.658845466552727,7.748334108177315e-05
2023-06-08,havells india limited,HAVELLS,BOB Capital Markets Ltd.,Consumer Goods,10.664355011250873,-0.000516224188790594
2023-05-09,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,15.27148421973129,0.03869514500623478
2023-05-05,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,13.7035308757194,0.016303501945525326
2023-05-04,havells india limited,HAVELLS,Prabhudas Lilladhar,Consumer Goods,15.197834567311528,0.005766062602965332
2023-05-04,havells india limited,HAVELLS,ICICI Direct,Consumer Goods,13.446381657511353,0.005766062602965332
2023-05-03,havells india limited,HAVELLS,BOB Capital Markets Ltd.,Consumer Goods,20.841053733988566,0.008756426735218582
2023-01-23,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,9.25,-0.010977630488815244
2023-01-20,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,28.58268696337467,0.02202586206896548
2023-01-19,havells india limited,HAVELLS,BOB Capital Markets Ltd.,Consumer Goods,24.434858351652906,-0.030313014827018085
2022-12-13,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,34.59534560611324,0.010211995863495268
2022-10-21,havells india limited,HAVELLS,ICICI Direct,Consumer Goods,34.22530983318324,0.022100840336134416
2022-10-20,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,24.134064789973163,-0.02275720164609061
2022-10-20,havells india limited,HAVELLS,BOB Capital Markets Ltd.,Consumer Goods,28.650456709121315,-0.02275720164609061
2022-10-14,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,31.686908485316213,-0.07021531100478465
2022-09-09,havells india limited,HAVELLS,ICICI Direct,Consumer Goods,21.466431095406353,-0.0364739392594238
2022-07-25,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,-11.634049705847033,0.05565573770491811
2022-07-22,havells india limited,HAVELLS,Prabhudas Lilladhar,Consumer Goods,2.014189023893015,0.02393148383395469
2022-07-21,havells india limited,HAVELLS,BOB Capital Markets Ltd.,Consumer Goods,22.304211341677195,-0.019486235595390453
2022-06-21,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,53.472740851381616,0.005954545454545413
2022-06-20,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,12.48136603875865,0.008600182982616734
2022-06-13,havells india limited,HAVELLS,BOB Capital Markets Ltd.,Consumer Goods,34.698275862068975,0.0033944954128440783
2022-06-10,havells india limited,HAVELLS,BOB Capital Markets Ltd.,Consumer Goods,33.51729048911834,-0.01987023519870231
2022-05-07,havells india limited,HAVELLS,Yes Securities,Consumer Goods,23.324830964816385,-0.0002023963730569948
2022-05-07,havells india limited,HAVELLS,Yes Securities,Consumer Goods,23.324830964816385,-0.0002023963730569948
2022-05-07,havells india limited,HAVELLS,Emkay,Consumer Goods,0.4089234381958746,-0.0002023963730569948
2022-05-06,havells india limited,HAVELLS,ICICI Direct,Consumer Goods,11.016914940858266,-0.0002023963730569948
2022-05-06,havells india limited,HAVELLS,Prabhudas Lilladhar,Consumer Goods,12.62854792266557,-0.0002023963730569948
2022-05-05,havells india limited,HAVELLS,BOB Capital Markets Ltd.,Consumer Goods,21.109361753663563,-0.021214964709722166
2022-02-10,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,13.726324749946798,0.0003729796933278454
2022-01-23,havells india limited,HAVELLS,Motilal Oswal,Consumer Goods,,0.015126912229723996
2022-01-22,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,22.02488824453305,-0.05096153846153839
2022-01-21,havells india limited,HAVELLS,Prabhudas Lilladhar,Consumer Goods,17.03885757871096,-0.05096153846153839
2021-10-22,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,-9.644394462325971,-0.02517627222562838
2021-10-21,havells india limited,HAVELLS,Prabhudas Lilladhar,Consumer Goods,8.581843564586816,-0.015697674418604653
2021-10-21,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,17.295798677756448,-0.015697674418604653
2021-10-21,havells india limited,HAVELLS,Motilal Oswal,Consumer Goods,0.05041299879785093,-0.015697674418604653
2021-07-28,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,-11.217143100583655,0.06357758620689655
2021-07-23,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,17.595628415300546,0.029653024520770437
2021-07-12,havells india limited,HAVELLS,Motilal Oswal,Consumer Goods,-0.24696140622729695,0.04078513778117393
2021-05-25,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,-7.965818681858365,0.026370887337986086
2021-05-22,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,18.156180103082765,-0.016328502415458915
2021-05-22,havells india limited,HAVELLS,Motilal Oswal,Consumer Goods,1.4378570021666361,-0.016328502415458915
2021-01-25,havells india limited,HAVELLS,Way2Wealth,Consumer Goods,,0.011780336581045133
2021-01-25,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,-6.771955013161043,0.011780336581045133
2021-01-21,havells india limited,HAVELLS,Prabhudas Lilladhar,Consumer Goods,0.2984011045294534,-0.07990367775831873
2021-01-21,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,10.870621493882233,-0.07990367775831873
2020-11-04,havells india limited,HAVELLS,Way2Wealth,Consumer Goods,,0.0027690603655159685
2020-11-02,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,-6.431319855860256,0.054247697031729755
2020-09-24,havells india limited,HAVELLS,Motilal Oswal,Consumer Goods,-3.6491920188149543,-0.0015739769150053488
2020-07-29,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,10.439127004996047,0.056903473555594386
2020-07-28,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,-9.11429306353425,0.012478485370051634
2020-07-27,havells india limited,HAVELLS,Yes Securities,Consumer Goods,-14.779602420051857,-0.01731092436974782
2020-07-27,havells india limited,HAVELLS,Motilal Oswal,Consumer Goods,-2.7608959888869555,-0.01731092436974782
2020-07-27,havells india limited,HAVELLS,Prabhudas Lilladhar,Consumer Goods,-10.14318785904141,-0.01731092436974782
2020-06-29,havells india limited,HAVELLS,Dolat Capital,Consumer Goods,-13.260476723173559,0.008128675198892998
2020-05-28,havells india limited,HAVELLS,Geojit BNP Paribas,Consumer Goods,6.397984886649874,0.135
2020-05-14,havells india limited,HAVELLS,ICICI Securities Limited,Consumer Goods,20.861797162375197,-0.06969545681477779
2020-05-13,havells india limited,HAVELLS,Prabhudas Lilladhar,Consumer Goods,-0.3799938379377678,-0.07921568627450976
