,Sector,author,correlation,performance_mean,count,correlation_threshold,performance_threshold,best_monthly_performance,filtered_count,month
0,Consumer Goods,Chola Wealth Direct,0.0,-0.0039929355755202,1,0.0,0.0,-inf,0.0,2014-06-01
1,Energy,Chola Wealth Direct,0.0,0.0854506742370476,1,0.0,0.0,-inf,0.0,2014-06-01
2,Finance,Chola Wealth Direct,0.0,0.1387096774193548,1,0.0,0.0,-inf,0.0,2014-06-01
3,Healthcare,Chola Wealth Direct,0.0,0.0116279069767441,1,0.0,0.0,-inf,0.0,2014-06-01
4,Finance,Chola Wealth Direct,-0.22155468745612436,0.010596383087972287,7,0.0,0.0,-inf,0.0,2014-07-01
5,Manufacturing,Chola Wealth Direct,-0.32994711707766555,-0.03460346782725356,3,0.0,0.0,-inf,0.0,2014-07-01
6,Technology,Chola Wealth Direct,0.0,0.0365900139753525,1,0.0,0.0,-inf,0.0,2014-07-01
7,Consumer Goods,Chola Wealth Direct,1.0,0.0272427626453356,2,0.0,0.0,0.04355786785552377,3.0,2014-08-01
8,Finance,Chola Wealth Direct,-0.5414785489408991,-0.0028653233641670263,4,0.0,0.0,0.04355786785552377,3.0,2014-08-01
9,Healthcare,Chola Wealth Direct,1.0,0.0549604185797816,2,0.0,0.0,0.04355786785552377,3.0,2014-08-01
10,Healthcare,Reliance Securities,0.0,-0.068324607329843,1,0.0,0.0,0.04355786785552377,3.0,2014-08-01
11,Manufacturing,Chola Wealth Direct,-0.15836674135559783,-0.021035303216399032,3,0.0,0.0,0.04355786785552377,3.0,2014-08-01
12,Technology,Chola Wealth Direct,0.9140638880973436,0.04847042234145413,4,0.0,0.0,0.04355786785552377,3.0,2014-08-01
13,Finance,Chola Wealth Direct,-0.05929808837858181,0.03599088702052209,7,0.0,0.0,0.030831963616700864,1.0,2014-10-01
14,Manufacturing,Ashika Research,0.0,0.0868279569892473,1,0.0,0.0,0.030831963616700864,1.0,2014-10-01
15,Technology,Chola Wealth Direct,0.9234530597968469,0.030831963616700864,3,0.0,0.0,0.030831963616700864,1.0,2014-10-01
16,Finance,Chola Wealth Direct,0.9699481263555346,0.030081919169563164,3,0.0,0.0,0.030081919169563164,1.0,2014-11-01
