,Sector,author,average_performance,number_of_observations,month
0,Healthcare,Chola Wealth Direct,0.0549604185797816,2,2014-08-01
1,Healthcare,Reliance Securities,-0.068324607329843,1,2014-08-01
2,Finance,Ashika Research,0.0062321844173656,2,2014-12-01
3,Technology,Chola Wealth Direct,-0.0042731157377943,1,2015-01-01
4,Agriculture,Chola Wealth Direct,0.0150703324537364,1,2015-02-01
5,Agriculture,Karvy,-0.00987626792178345,2,2015-02-01
6,Finance,Karvy,0.035348344495715535,3,2015-02-01
7,Technology,Chola Wealth Direct,0.040556473644304175,4,2015-02-01
8,Finance,Ashika Research,-0.1045454545454546,1,2015-03-01
9,Consumer Goods,BOB Capital Markets Ltd.,0.0169782525753528,1,2015-04-01
10,Technology,Chola Wealth Direct,-0.0053125,1,2015-04-01
11,Energy,Phillip Capital,0.028250773993808,1,2015-05-01
12,Healthcare,Chola Wealth Direct,-0.0079907752282527,3,2015-05-01
13,Technology,Chola Wealth Direct,-0.024977260559942968,3,2015-05-01
14,Technology,HDFC Securities,0.004117658483348558,7,2015-05-01
15,Telecommunications,Karvy,0.0069999999999999,1,2015-05-01
16,Consumer Goods,BOB Capital Markets Ltd.,-0.0828414839797638,1,2015-06-01
17,Energy,Phillip Capital,0.0058266571228564,2,2015-06-01
18,Technology,Phillip Capital,0.0036171396772398,1,2015-06-01
19,Technology,Ashika Research,0.08616948467247865,2,2015-07-01
20,Technology,Phillip Capital,0.0208277975737216,8,2015-07-01
21,Agriculture,Chola Wealth Direct,6.818491749624983e-05,1,2015-08-01
22,Consumer Goods,Karvy,0.0854212860310421,1,2015-08-01
23,Consumer Goods,Karvy,0.019257042095960405,2,2015-09-01
24,Healthcare,BOB Capital Markets Ltd.,-0.054924537109071,1,2015-10-01
25,Agriculture,Chola Wealth Direct,-0.0680380127511126,1,2015-11-01
26,Consumer Goods,Karvy,-0.0327124384236453,1,2015-11-01
27,Consumer Goods,Karvy,-0.0283612040133779,1,2016-01-01
