### iter_0_a_-1.0_b_-1.0 ###
                  Sector                              author  mean_performance  count      month
0                Finance                 Chola Wealth Direct          0.005339      5 2014-01-01
1             Healthcare                 Chola Wealth Direct         -0.016735      1 2014-01-01
2          Manufacturing                 Chola Wealth Direct          0.005777      2 2014-01-01
3                Unknown                 Chola Wealth Direct          0.004665      1 2014-01-01
4            Agriculture                 Chola Wealth Direct          0.017939      1 2014-02-01
5         Consumer Goods                 Chola Wealth Direct          0.003357      1 2014-02-01
6                 Energy                 Chola Wealth Direct         -0.005767      1 2014-02-01
7                Finance                 Chola Wealth Direct          0.005663      3 2014-02-01
8             Healthcare                 Chola Wealth Direct         -0.007582      2 2014-02-01
9          Manufacturing                 Chola Wealth Direct         -0.009451      2 2014-02-01
10            Technology                 Chola Wealth Direct         -0.000249      5 2014-02-01
11        Consumer Goods                 Chola Wealth Direct          0.005618      1 2014-04-01
12               Finance                     Ashika Research         -0.019511      1 2014-04-01
13               Finance                 Chola Wealth Direct         -0.001860      4 2014-04-01
14         Manufacturing                 Chola Wealth Direct          0.007068      1 2014-04-01
15        Consumer Goods                 Chola Wealth Direct          0.005492      1 2014-05-01
16               Finance                 Chola Wealth Direct         -0.015610      5 2014-05-01
17            Healthcare                 Chola Wealth Direct         -0.032826      2 2014-05-01
18         Manufacturing                 Chola Wealth Direct         -0.015737      5 2014-05-01
19            Technology                 Chola Wealth Direct          0.012653      4 2014-05-01
20               Unknown                 Chola Wealth Direct          0.010003      1 2014-05-01
21           Agriculture                 Chola Wealth Direct          0.005850      1 2014-06-01
22        Consumer Goods                 Chola Wealth Direct          0.003225      1 2014-06-01
23                Energy                 Chola Wealth Direct         -0.007949      1 2014-06-01
24               Finance                 Chola Wealth Direct          0.058065      1 2014-06-01
25            Healthcare                 Chola Wealth Direct         -0.009884      1 2014-06-01
26               Finance                 Chola Wealth Direct          0.004945      7 2014-07-01
27            Healthcare                 Reliance Securities         -0.038635      1 2014-07-01
28         Manufacturing                 Chola Wealth Direct         -0.008753      3 2014-07-01
29            Technology                 Chola Wealth Direct         -0.026299      1 2014-07-01
30        Consumer Goods                 Chola Wealth Direct          0.004332      2 2014-08-01
31                Energy                 Chola Wealth Direct          0.010791      1 2014-08-01
32               Finance                 Chola Wealth Direct          0.002723      4 2014-08-01
33            Healthcare                 Chola Wealth Direct          0.002813      2 2014-08-01
34            Healthcare                 Reliance Securities         -0.000654      1 2014-08-01
35         Manufacturing                 Chola Wealth Direct         -0.002291      3 2014-08-01
36            Technology                 Chola Wealth Direct         -0.010966      4 2014-08-01
37               Unknown                 Chola Wealth Direct          0.000203      2 2014-08-01
38        Consumer Goods                 Chola Wealth Direct          0.022111      2 2014-10-01
39               Finance                 Chola Wealth Direct         -0.004784      7 2014-10-01
40         Manufacturing                     Ashika Research          0.000806      1 2014-10-01
41         Manufacturing                 Chola Wealth Direct         -0.009574      3 2014-10-01
42            Technology                 Chola Wealth Direct          0.015512      3 2014-10-01
43               Unknown                 Chola Wealth Direct         -0.005961      1 2014-10-01
44        Consumer Goods                 Chola Wealth Direct         -0.009849      1 2014-11-01
45                Energy                 Chola Wealth Direct          0.016250      1 2014-11-01
46               Finance                 Chola Wealth Direct          0.029920      3 2014-11-01
47            Healthcare                 Chola Wealth Direct         -0.013207      3 2014-11-01
48         Manufacturing                 Chola Wealth Direct          0.013061      5 2014-11-01
49           Real Estate                 Chola Wealth Direct         -0.007105      1 2014-11-01
50            Technology                 Chola Wealth Direct         -0.002974      5 2014-11-01
51            Technology                               Karvy          0.000786      2 2014-11-01
52               Unknown                 Chola Wealth Direct          0.008488      1 2014-11-01
53               Finance                     Ashika Research          0.020901      2 2014-12-01
54            Technology                               Karvy         -0.010675      1 2014-12-01
55               Finance                 Chola Wealth Direct          0.002328     11 2015-01-01
56            Healthcare                 Chola Wealth Direct         -0.003304      1 2015-01-01
57            Healthcare                 Reliance Securities         -0.011801      1 2015-01-01
58         Manufacturing                 Chola Wealth Direct         -0.013595      2 2015-01-01
59            Technology                 Chola Wealth Direct         -0.004546      1 2015-01-01
60            Technology                               Karvy         -0.007017      2 2015-01-01
61               Unknown                 Chola Wealth Direct          0.011518      1 2015-01-01
62           Agriculture                 Chola Wealth Direct          0.002385      1 2015-02-01
63           Agriculture                               Karvy          0.000212      2 2015-02-01
64        Consumer Goods                 Chola Wealth Direct         -0.004583      3 2015-02-01
65                Energy                 Chola Wealth Direct         -0.004274      1 2015-02-01
66               Finance                 Chola Wealth Direct         -0.005678      5 2015-02-01
67            Healthcare                 Chola Wealth Direct         -0.008648      3 2015-02-01
68         Manufacturing                     Ashika Research          0.004992      1 2015-02-01
69         Manufacturing                 Chola Wealth Direct         -0.009362      9 2015-02-01
70           Real Estate                 Chola Wealth Direct          0.006837      1 2015-02-01
71            Technology                 Chola Wealth Direct          0.002316      4 2015-02-01
72            Technology                               Karvy          0.006834      1 2015-02-01
73                Energy                     HDFC Securities          0.107070      1 2015-03-01
74               Finance                     Ashika Research         -0.032620      1 2015-03-01
75               Finance                     HDFC Securities          0.007401      1 2015-03-01
76               Finance                               Karvy         -0.002341      1 2015-03-01
77         Manufacturing                     HDFC Securities          0.005216      2 2015-03-01
78         Manufacturing                               Karvy          0.015749      2 2015-03-01
