### iter_0_a_0.0_b_0.0 ###
                  Sector                              author  mean_performance  count      month
0             Healthcare                 Chola Wealth Direct          0.007514      1 2014-01-01
1                 Energy                 Chola Wealth Direct         -0.006884      1 2014-02-01
2             Healthcare                 Chola Wealth Direct          0.004681      2 2014-02-01
3          Manufacturing                 Chola Wealth Direct          0.032855      2 2014-02-01
4                Finance                     Ashika Research          0.029603      1 2014-04-01
5                 Energy                 Chola Wealth Direct          0.085451      1 2014-06-01
6             Healthcare                 Reliance Securities         -0.012741      1 2014-07-01
7             Technology                 Chola Wealth Direct          0.036590      1 2014-07-01
8                Finance                 Chola Wealth Direct         -0.002865      4 2014-08-01
9             Technology                 Chola Wealth Direct          0.048470      4 2014-08-01
10               Finance                 Chola Wealth Direct          0.035991      7 2014-10-01
11               Unknown                 Chola Wealth Direct         -0.037785      1 2014-10-01
12               Finance                 Chola Wealth Direct          0.030082      3 2014-11-01
13            Technology                 Chola Wealth Direct          0.041265      5 2014-11-01
14               Unknown                 Chola Wealth Direct         -0.003605      1 2014-11-01
15               Finance                     Ashika Research          0.006232      2 2014-12-01
16            Technology                 Chola Wealth Direct         -0.004273      1 2015-01-01
17               Unknown                 Chola Wealth Direct          0.127003      1 2015-01-01
18           Agriculture                 Chola Wealth Direct          0.015070      1 2015-02-01
19                Energy                 Chola Wealth Direct         -0.007508      1 2015-02-01
20            Technology                 Chola Wealth Direct          0.040556      4 2015-02-01
21               Finance                               Karvy         -0.032693      1 2015-03-01
22                Energy                     HDFC Securities         -0.023288      1 2015-04-01
23               Finance                               Karvy         -0.029453      5 2015-04-01
24         Manufacturing                               Karvy         -0.004505      1 2015-04-01
25            Technology                 Chola Wealth Direct         -0.005313      1 2015-04-01
26               Unknown                 Chola Wealth Direct         -0.013215      1 2015-04-01
27         Manufacturing                               Karvy         -0.007428      6 2015-05-01
28            Technology                 Chola Wealth Direct         -0.024977      3 2015-05-01
29    Telecommunications                               Karvy          0.007000      1 2015-05-01
30               Unknown                 Chola Wealth Direct         -0.031183      1 2015-05-01
31                Energy                 Chola Wealth Direct          0.013951      1 2015-06-01
32                Energy                     HDFC Securities         -0.031659      3 2015-06-01
33            Healthcare                     HDFC Securities         -0.035932      3 2015-06-01
34        Consumer Goods                 Chola Wealth Direct         -0.012319      1 2015-07-01
35        Consumer Goods                     HDFC Securities          0.013185      2 2015-07-01
36        Consumer Goods                               Karvy          0.077578      2 2015-07-01
37        Consumer Goods                     Phillip Capital         -0.000468      4 2015-07-01
38            Healthcare                     HDFC Securities          0.014468      1 2015-07-01
39            Healthcare                               Karvy         -0.025485      2 2015-07-01
40         Manufacturing                               Karvy          0.007577      4 2015-07-01
41            Technology                     Ashika Research          0.086169      2 2015-07-01
42            Technology                    Systematix Group         -0.017423      1 2015-07-01
43        Consumer Goods                 Chola Wealth Direct         -0.144070      1 2015-08-01
44        Consumer Goods                               Karvy          0.085421      1 2015-08-01
45        Consumer Goods                     Phillip Capital         -0.069687      3 2015-08-01
46                Energy                 Chola Wealth Direct         -0.050721      1 2015-08-01
47               Finance                 Reliance Securities          0.033869      1 2015-08-01
48            Healthcare                     HDFC Securities         -0.002129      1 2015-08-01
49            Healthcare                 Reliance Securities          0.029873      6 2015-08-01
50         Manufacturing                               Karvy         -0.000520      9 2015-08-01
51            Technology                     Phillip Capital         -0.029452     12 2015-08-01
52               Unknown                 Chola Wealth Direct          0.045198      1 2015-08-01
53             Utilities                     HDFC Securities         -0.017599      1 2015-08-01
54        Consumer Goods                               Karvy          0.019257      2 2015-09-01
55        Consumer Goods                     Phillip Capital          0.045828      1 2015-09-01
56            Healthcare                     Phillip Capital          0.019414      1 2015-09-01
57            Healthcare                 Reliance Securities         -0.004345      1 2015-09-01
58         Manufacturing                               Karvy          0.176188      3 2015-09-01
59            Technology                     HDFC Securities          0.016306      2 2015-09-01
60        Consumer Goods                     HDFC Securities          0.023654      2 2015-10-01
61        Consumer Goods                     Phillip Capital         -0.016256      3 2015-10-01
62            Healthcare            BOB Capital Markets Ltd.         -0.054925      1 2015-10-01
63            Healthcare                     HDFC Securities         -0.034103      1 2015-10-01
64            Healthcare                     Phillip Capital          0.004917      6 2015-10-01
65            Healthcare                 Reliance Securities         -0.030420      6 2015-10-01
66         Manufacturing                               Karvy          0.014175      7 2015-10-01
67            Technology                     Ashika Research          0.041742      1 2015-10-01
68            Technology                     HDFC Securities          0.021622      3 2015-10-01
69            Technology                               Karvy         -0.007462      6 2015-10-01
70               Unknown                     Phillip Capital         -0.002808      1 2015-10-01
71        Consumer Goods                     HDFC Securities         -0.006866      2 2015-11-01
72        Consumer Goods                               Karvy         -0.032712      1 2015-11-01
73        Consumer Goods                     Phillip Capital          0.097857      2 2015-11-01
74                Energy                               Karvy         -0.015837      2 2015-11-01
75                Energy                 Reliance Securities          0.002173      1 2015-11-01
76               Finance                 Reliance Securities         -0.007695      6 2015-11-01
77            Healthcare                     HDFC Securities         -0.016753      3 2015-11-01
78            Healthcare                     Phillip Capital         -0.017620      9 2015-11-01
79            Healthcare                 Reliance Securities         -0.037482      6 2015-11-01
80         Manufacturing                               Karvy          0.002654     10 2015-11-01
81         Manufacturing                 Reliance Securities         -0.005567     10 2015-11-01
82            Technology                     Ashika Research         -0.087710      1 2015-11-01
83            Technology                     HDFC Securities         -0.000682      4 2015-11-01
84               Unknown                     Phillip Capital          0.050869      2 2015-11-01
85        Consumer Goods                               Karvy          0.050595      1 2015-12-01
86        Consumer Goods                     Phillip Capital         -0.035455      3 2015-12-01
87                Energy                               Karvy         -0.019988      1 2015-12-01
88               Finance                     Phillip Capital          0.022294      1 2015-12-01
89               Finance                 Reliance Securities          0.001036      1 2015-12-01
90            Healthcare                     HDFC Securities         -0.044351      1 2015-12-01
91            Healthcare            ICICI Securities Limited          0.037677      2 2015-12-01
92         Manufacturing                               Karvy         -0.006671      4 2015-12-01
93            Technology                       Angel Broking          0.092826      1 2015-12-01
94            Technology                     HDFC Securities         -0.008379      2 2015-12-01
95               Unknown                     Phillip Capital          0.029420      2 2015-12-01
96        Consumer Goods                     HDFC Securities          0.014727      2 2016-01-01
97        Consumer Goods            ICICI Securities Limited         -0.016329      2 2016-01-01
98        Consumer Goods                               Karvy         -0.028361      1 2016-01-01
99        Consumer Goods                     Phillip Capital          0.029289      3 2016-01-01
100               Energy                               Karvy         -0.031565      1 2016-01-01
101               Energy                 Reliance Securities         -0.000980      4 2016-01-01
102              Finance                       Angel Broking          0.001471      6 2016-01-01
103              Finance                     Phillip Capital         -0.017794     13 2016-01-01
104           Healthcare                     Ashika Research          0.080195      1 2016-01-01
105           Healthcare                 Chola Wealth Direct          0.008342      1 2016-01-01
106           Healthcare                     HDFC Securities         -0.002533      2 2016-01-01
107           Healthcare            ICICI Securities Limited         -0.053505      4 2016-01-01
108           Healthcare                     Phillip Capital         -0.029723      5 2016-01-01
109        Manufacturing                               Karvy         -0.021609      8 2016-01-01
110        Manufacturing                 Reliance Securities          0.033079      3 2016-01-01
111           Technology                     HDFC Securities          0.003701      4 2016-01-01
112           Technology                 Reliance Securities          0.027978      1 2016-01-01
113              Unknown                     Phillip Capital         -0.013855      1 2016-01-01
114       Consumer Goods                     HDFC Securities          0.039391      1 2016-02-01
115       Consumer Goods            ICICI Securities Limited          0.008689      4 2016-02-01
116       Consumer Goods                               Karvy         -0.059856      1 2016-02-01
117       Consumer Goods                     Phillip Capital          0.011008      5 2016-02-01
118               Energy                 Reliance Securities          0.045123      1 2016-02-01
119           Healthcare                 Chola Wealth Direct         -0.024995      3 2016-02-01
120           Healthcare                     HDFC Securities         -0.006533      9 2016-02-01
121           Healthcare                     Phillip Capital          0.009116     15 2016-02-01
122           Healthcare                 Reliance Securities          0.060483      2 2016-02-01
123        Manufacturing                        Ajcon Global         -0.004788      1 2016-02-01
124        Manufacturing                               Karvy         -0.030139      4 2016-02-01
125        Manufacturing                 Reliance Securities         -0.039501     12 2016-02-01
126           Technology                     HDFC Securities          0.034097     10 2016-02-01
127           Technology            ICICI Securities Limited         -0.045276      9 2016-02-01
128           Technology                 Reliance Securities          0.035009      3 2016-02-01
129   Telecommunications                               Karvy          0.014425      1 2016-02-01
130       Transportation                     Phillip Capital         -0.062225      1 2016-02-01
131              Unknown                     Phillip Capital         -0.059294      4 2016-02-01
132            Utilities                 Chola Wealth Direct         -0.029263      1 2016-02-01
133            Utilities                     HDFC Securities          0.077309      1 2016-02-01
134            Utilities                     Phillip Capital          0.024023      2 2016-02-01
135       Consumer Goods                     HDFC Securities          0.014894      1 2016-03-01
136       Consumer Goods                     Phillip Capital         -0.030428      1 2016-03-01
137               Energy                               Karvy         -0.004818      1 2016-03-01
138           Healthcare            BOB Capital Markets Ltd.          0.111124      1 2016-03-01
