,correlation_threshold,performance_threshold,mean_of_mean_performance,number_of_monthly_predictions
0,0.0,0.0,-0.0007246823535187427,58.911764705882355
1,0.0,0.01,-0.0006095838170196299,7.0344827586206895
2,0.0,0.02,0.0018535996511946239,3.0217391304347827
3,0.0,0.03,0.0032195225841324194,2.2083333333333335
4,0.0,0.04,0.0033936608181112118,1.8181818181818181
5,0.0,0.05,0.020546123276318433,1.6666666666666667
6,0.01,0.0,-0.0007156957274638347,56.833333333333336
7,0.01,0.01,-0.0006035003849030772,6.942528735632184
8,0.01,0.02,0.0017317902898799336,3.0
9,0.01,0.03,0.0029376801367403233,2.1666666666666665
10,0.01,0.04,0.0033936608181112118,1.8181818181818181
11,0.01,0.05,0.020546123276318433,1.6666666666666667
12,0.02,0.0,-0.0007469653305195612,54.31372549019608
13,0.02,0.01,-0.000513845519184051,6.839080459770115
14,0.02,0.02,0.0020723411445386494,2.9782608695652173
15,0.02,0.03,0.0029376801367403233,2.1666666666666665
16,0.02,0.04,0.0033936608181112118,1.8181818181818181
17,0.02,0.05,0.020546123276318433,1.6666666666666667
18,0.03,0.0,-0.0006979262955866045,52.42156862745098
19,0.03,0.01,-0.0003815051080550763,6.781609195402299
20,0.03,0.02,0.0020723411445386494,2.9782608695652173
21,0.03,0.03,0.0029376801367403233,2.1666666666666665
22,0.03,0.04,0.0033936608181112118,1.8181818181818181
23,0.03,0.05,0.020546123276318433,1.6666666666666667
24,0.04,0.0,-0.0007804332950448981,50.45544554455446
25,0.04,0.01,-0.00040441376923163315,6.616279069767442
26,0.04,0.02,0.0021353596527221887,2.869565217391304
27,0.04,0.03,0.003142447121843419,2.0434782608695654
28,0.04,0.04,0.0033936608181112118,1.8181818181818181
29,0.04,0.05,0.020546123276318433,1.6666666666666667
30,0.05,0.0,-0.0009358286390014866,48.37623762376238
31,0.05,0.01,-0.00040441376923163315,6.616279069767442
32,0.05,0.02,0.0021353596527221887,2.869565217391304
33,0.05,0.03,0.003142447121843419,2.0434782608695654
34,0.05,0.04,0.0033936608181112118,1.8181818181818181
35,0.05,0.05,0.020546123276318433,1.6666666666666667
