,correlation_threshold,performance_threshold,mean_of_mean_performance,number_of_monthly_predictions
0,0.0,0.01,-0.0015127984452904001,8.88888888888889
1,0.0,0.015,-0.004318259428522099,3.0
2,0.0,0.019999999999999997,-0.0010717957700291931,2.2857142857142856
3,0.0,0.024999999999999998,0.007413978931720621,1.8
4,0.0,0.03,0.01114998163589545,2.0
5,0.0,0.034999999999999996,0.007298204177973368,2.3333333333333335
6,0.0,0.039999999999999994,0.007298204177973368,2.3333333333333335
7,0.0,0.045,0.013332004954051152,1.5
8,0.0,0.049999999999999996,0.015694786205759603,2.0
9,0.0,0.05499999999999999,,
10,0.01,0.01,-0.001376985063807808,8.222222222222221
11,0.01,0.015,-0.004318259428522099,3.0
12,0.01,0.019999999999999997,-0.0010717957700291931,2.2857142857142856
13,0.01,0.024999999999999998,0.007413978931720621,1.8
14,0.01,0.03,0.01114998163589545,2.0
15,0.01,0.034999999999999996,0.007298204177973368,2.3333333333333335
16,0.01,0.039999999999999994,0.007298204177973368,2.3333333333333335
17,0.01,0.045,0.013332004954051152,1.5
18,0.01,0.049999999999999996,0.015694786205759603,2.0
19,0.01,0.05499999999999999,,
20,0.02,0.01,-0.001376985063807808,8.222222222222221
21,0.02,0.015,-0.004318259428522099,3.0
22,0.02,0.019999999999999997,-0.0010717957700291931,2.2857142857142856
23,0.02,0.024999999999999998,0.007413978931720621,1.8
24,0.02,0.03,0.01114998163589545,2.0
25,0.02,0.034999999999999996,0.007298204177973368,2.3333333333333335
26,0.02,0.039999999999999994,0.007298204177973368,2.3333333333333335
27,0.02,0.045,0.013332004954051152,1.5
28,0.02,0.049999999999999996,0.015694786205759603,2.0
29,0.02,0.05499999999999999,,
30,0.03,0.01,-0.0014659706574346417,8.0
31,0.03,0.015,-0.004318259428522099,3.0
32,0.03,0.019999999999999997,-0.0010717957700291931,2.2857142857142856
33,0.03,0.024999999999999998,0.007413978931720621,1.8
34,0.03,0.03,0.01114998163589545,2.0
35,0.03,0.034999999999999996,0.007298204177973368,2.3333333333333335
36,0.03,0.039999999999999994,0.007298204177973368,2.3333333333333335
37,0.03,0.045,0.013332004954051152,1.5
38,0.03,0.049999999999999996,0.015694786205759603,2.0
39,0.03,0.05499999999999999,,
40,0.04,0.01,-0.0014659706574346417,8.0
41,0.04,0.015,-0.004318259428522099,3.0
42,0.04,0.019999999999999997,-0.0010717957700291931,2.2857142857142856
43,0.04,0.024999999999999998,0.007413978931720621,1.8
44,0.04,0.03,0.01114998163589545,2.0
45,0.04,0.034999999999999996,0.007298204177973368,2.3333333333333335
46,0.04,0.039999999999999994,0.007298204177973368,2.3333333333333335
47,0.04,0.045,0.013332004954051152,1.5
48,0.04,0.049999999999999996,0.015694786205759603,2.0
49,0.04,0.05499999999999999,,
50,0.05,0.01,-0.0014659706574346417,8.0
51,0.05,0.015,-0.004318259428522099,3.0
52,0.05,0.019999999999999997,-0.0010717957700291931,2.2857142857142856
53,0.05,0.024999999999999998,0.007413978931720621,1.8
54,0.05,0.03,0.01114998163589545,2.0
55,0.05,0.034999999999999996,0.007298204177973368,2.3333333333333335
56,0.05,0.039999999999999994,0.007298204177973368,2.3333333333333335
57,0.05,0.045,0.013332004954051152,1.5
58,0.05,0.049999999999999996,0.015694786205759603,2.0
59,0.05,0.05499999999999999,,
60,0.06,0.01,-0.0014659706574346417,8.0
61,0.06,0.015,-0.004318259428522099,3.0
62,0.06,0.019999999999999997,-0.0010717957700291931,2.2857142857142856
63,0.06,0.024999999999999998,0.007413978931720621,1.8
64,0.06,0.03,0.01114998163589545,2.0
65,0.06,0.034999999999999996,0.007298204177973368,2.3333333333333335
66,0.06,0.039999999999999994,0.007298204177973368,2.3333333333333335
67,0.06,0.045,0.013332004954051152,1.5
68,0.06,0.049999999999999996,0.015694786205759603,2.0
69,0.06,0.05499999999999999,,
70,0.07,0.01,-0.0014659706574346417,8.0
71,0.07,0.015,-0.004318259428522099,3.0
72,0.07,0.019999999999999997,-0.0010717957700291931,2.2857142857142856
73,0.07,0.024999999999999998,0.007413978931720621,1.8
74,0.07,0.03,0.01114998163589545,2.0
75,0.07,0.034999999999999996,0.007298204177973368,2.3333333333333335
76,0.07,0.039999999999999994,0.007298204177973368,2.3333333333333335
77,0.07,0.045,0.013332004954051152,1.5
78,0.07,0.049999999999999996,0.015694786205759603,2.0
79,0.07,0.05499999999999999,,
80,0.08,0.01,-0.0015026199238705072,7.888888888888889
81,0.08,0.015,-0.004318259428522099,3.0
82,0.08,0.019999999999999997,-0.0010717957700291931,2.2857142857142856
83,0.08,0.024999999999999998,0.007413978931720621,1.8
84,0.08,0.03,0.01114998163589545,2.0
85,0.08,0.034999999999999996,0.007298204177973368,2.3333333333333335
86,0.08,0.039999999999999994,0.007298204177973368,2.3333333333333335
87,0.08,0.045,0.013332004954051152,1.5
88,0.08,0.049999999999999996,0.015694786205759603,2.0
89,0.08,0.05499999999999999,,
90,0.09,0.01,-0.0013416261995795003,7.666666666666667
91,0.09,0.015,-0.004318259428522099,3.0
92,0.09,0.019999999999999997,-0.0010717957700291931,2.2857142857142856
93,0.09,0.024999999999999998,0.007413978931720621,1.8
94,0.09,0.03,0.01114998163589545,2.0
95,0.09,0.034999999999999996,0.007298204177973368,2.3333333333333335
96,0.09,0.039999999999999994,0.007298204177973368,2.3333333333333335
97,0.09,0.045,0.013332004954051152,1.5
98,0.09,0.049999999999999996,0.015694786205759603,2.0
99,0.09,0.05499999999999999,,
