,correlation_threshold,performance_threshold,mean_of_mean_performance,number_of_monthly_predictions
0,0.0,0.0,0.004807652467530413,55.7037037037037
1,0.0,0.005,0.004818561597388539,15.518518518518519
2,0.0,0.01,0.0036098176748643757,5.675925925925926
3,0.0,0.015,0.00843982266442614,2.25
4,0.0,0.02,0.006442331227153082,1.2962962962962963
5,0.0,0.025,-0.00052027313039063,0.6944444444444444
6,0.0,0.03,-0.006574829276188232,0.49074074074074076
7,0.0,0.035,-0.00931723022722906,0.25
8,0.0,0.04,0.004900100363637087,0.18518518518518517
9,0.0,0.045,0.022601876197036668,0.12037037037037036
10,0.0,0.05,0.04863736780542835,0.046296296296296294
11,0.0,0.055,0.1022044088176353,0.009259259259259259
12,0.01,0.0,0.005058391628514277,53.74074074074074
13,0.01,0.005,0.004878699726737824,15.333333333333334
14,0.01,0.01,0.0035788387715798534,5.601851851851852
15,0.01,0.015,0.008224761436592277,2.240740740740741
16,0.01,0.02,0.006028162368631259,1.287037037037037
17,0.01,0.025,-0.0013649167491672372,0.6851851851851852
18,0.01,0.03,-0.008178692226528287,0.48148148148148145
19,0.01,0.035,-0.00931723022722906,0.25
20,0.01,0.04,0.004900100363637087,0.18518518518518517
21,0.01,0.045,0.022601876197036668,0.12037037037037036
22,0.01,0.05,0.04863736780542835,0.046296296296296294
23,0.01,0.055,0.1022044088176353,0.009259259259259259
24,0.02,0.0,0.004727341825576991,51.361111111111114
25,0.02,0.005,0.004896566438305346,15.231481481481481
26,0.02,0.01,0.0034969109078297166,5.518518518518518
27,0.02,0.015,0.0081354630034844,2.2314814814814814
28,0.02,0.02,0.005837112594462204,1.2777777777777777
29,0.02,0.025,-0.0013649167491672372,0.6851851851851852
30,0.02,0.03,-0.008178692226528287,0.48148148148148145
31,0.02,0.035,-0.00931723022722906,0.25
32,0.02,0.04,0.004900100363637087,0.18518518518518517
33,0.02,0.045,0.022601876197036668,0.12037037037037036
34,0.02,0.05,0.04863736780542835,0.046296296296296294
35,0.02,0.055,0.1022044088176353,0.009259259259259259
36,0.03,0.0,0.004777678681293069,49.574074074074076
37,0.03,0.005,0.004607661533831805,15.018518518518519
38,0.03,0.01,0.00312177299805276,5.472222222222222
39,0.03,0.015,0.0081354630034844,2.2314814814814814
40,0.03,0.02,0.005837112594462204,1.2777777777777777
41,0.03,0.025,-0.0013649167491672372,0.6851851851851852
42,0.03,0.03,-0.008178692226528287,0.48148148148148145
43,0.03,0.035,-0.00931723022722906,0.25
44,0.03,0.04,0.004900100363637087,0.18518518518518517
45,0.03,0.045,0.022601876197036668,0.12037037037037036
46,0.03,0.05,0.04863736780542835,0.046296296296296294
47,0.03,0.055,0.1022044088176353,0.009259259259259259
48,0.04,0.0,0.004746876260799044,47.25
49,0.04,0.005,0.004588283379845963,14.675925925925926
50,0.04,0.01,0.003199042261403345,5.277777777777778
51,0.04,0.015,0.008330667980798727,2.1481481481481484
52,0.04,0.02,0.005791986957405711,1.2314814814814814
53,0.04,0.025,-0.0016001712407864906,0.6388888888888888
54,0.04,0.03,-0.008823145100610786,0.4351851851851852
55,0.04,0.035,-0.00931723022722906,0.25
56,0.04,0.04,0.004900100363637087,0.18518518518518517
57,0.04,0.045,0.022601876197036668,0.12037037037037036
58,0.04,0.05,0.04863736780542835,0.046296296296296294
59,0.04,0.055,0.1022044088176353,0.009259259259259259
60,0.05,0.0,0.004686153882540149,45.30555555555556
61,0.05,0.005,0.004714443955759215,14.212962962962964
62,0.05,0.01,0.003199042261403345,5.277777777777778
63,0.05,0.015,0.008330667980798727,2.1481481481481484
64,0.05,0.02,0.005791986957405711,1.2314814814814814
65,0.05,0.025,-0.0016001712407864906,0.6388888888888888
66,0.05,0.03,-0.008823145100610786,0.4351851851851852
67,0.05,0.035,-0.00931723022722906,0.25
68,0.05,0.04,0.004900100363637087,0.18518518518518517
69,0.05,0.045,0.022601876197036668,0.12037037037037036
70,0.05,0.05,0.04863736780542835,0.046296296296296294
71,0.05,0.055,0.1022044088176353,0.009259259259259259
72,0.06,0.0,0.004647823670445896,43.06481481481482
73,0.06,0.005,0.004650178073193722,13.462962962962964
74,0.06,0.01,0.0032742956559432923,5.268518518518518
75,0.06,0.015,0.008330667980798727,2.1481481481481484
76,0.06,0.02,0.005791986957405711,1.2314814814814814
77,0.06,0.025,-0.0016001712407864906,0.6388888888888888
78,0.06,0.03,-0.008823145100610786,0.4351851851851852
79,0.06,0.035,-0.00931723022722906,0.25
80,0.06,0.04,0.004900100363637087,0.18518518518518517
81,0.06,0.045,0.022601876197036668,0.12037037037037036
82,0.06,0.05,0.04863736780542835,0.046296296296296294
83,0.06,0.055,0.1022044088176353,0.009259259259259259
84,0.07,0.0,0.004729451268821087,40.611111111111114
85,0.07,0.005,0.004743738793767231,13.36111111111111
86,0.07,0.01,0.0033445990905104487,5.222222222222222
87,0.07,0.015,0.008330667980798727,2.1481481481481484
88,0.07,0.02,0.005791986957405711,1.2314814814814814
89,0.07,0.025,-0.0016001712407864906,0.6388888888888888
90,0.07,0.03,-0.008823145100610786,0.4351851851851852
91,0.07,0.035,-0.00931723022722906,0.25
92,0.07,0.04,0.004900100363637087,0.18518518518518517
93,0.07,0.045,0.022601876197036668,0.12037037037037036
94,0.07,0.05,0.04863736780542835,0.046296296296296294
95,0.07,0.055,0.1022044088176353,0.009259259259259259
96,0.08,0.0,0.004683899251822343,38.71296296296296
97,0.08,0.005,0.004664249536292858,12.842592592592593
98,0.08,0.01,0.0034262577610699517,5.166666666666667
99,0.08,0.015,0.008330667980798727,2.1481481481481484
100,0.08,0.02,0.005791986957405711,1.2314814814814814
101,0.08,0.025,-0.0016001712407864906,0.6388888888888888
102,0.08,0.03,-0.008823145100610786,0.4351851851851852
103,0.08,0.035,-0.00931723022722906,0.25
104,0.08,0.04,0.004900100363637087,0.18518518518518517
105,0.08,0.045,0.022601876197036668,0.12037037037037036
106,0.08,0.05,0.04863736780542835,0.046296296296296294
107,0.08,0.055,0.1022044088176353,0.009259259259259259
108,0.09,0.0,0.004845513743365882,36.93518518518518
109,0.09,0.005,0.0049739919752985196,12.564814814814815
110,0.09,0.01,0.0034757506734366837,5.148148148148148
111,0.09,0.015,0.008330667980798727,2.1481481481481484
112,0.09,0.02,0.005791986957405711,1.2314814814814814
113,0.09,0.025,-0.0016001712407864906,0.6388888888888888
114,0.09,0.03,-0.008823145100610786,0.4351851851851852
115,0.09,0.035,-0.00931723022722906,0.25
116,0.09,0.04,0.004900100363637087,0.18518518518518517
117,0.09,0.045,0.022601876197036668,0.12037037037037036
118,0.09,0.05,0.04863736780542835,0.046296296296296294
119,0.09,0.055,0.1022044088176353,0.009259259259259259
