MONTHS WHERE COMBINED_METRIC > 0.005 AND CORPUS_RETURN < 0
============================================================

     month  mean_performance  count  corpus_return  monthly_combined  k_percent
2018-02-01          0.005302     58      -0.018812          0.284336   2.500000
2018-02-01          0.005302     58      -0.018812          0.284336   3.000000
2018-02-01          0.005302     58      -0.018812          0.284336   3.500000
2020-05-01          0.007762     44      -0.047386          0.323934   3.500000
2018-02-01          0.005302     58      -0.018812          0.284336   4.000000
2020-05-01          0.007762     44      -0.047386          0.323934   4.000000
2018-02-01          0.005302     58      -0.018812          0.284336   4.500000
2020-05-01          0.007762     44      -0.047386          0.323934   4.500000
2018-01-01          0.002470     51      -0.021940          0.105562   5.000000
2020-05-01          0.007762     44      -0.047386          0.323934   5.000000
2018-01-01          0.002470     51      -0.021940          0.105562   5.500000
2020-05-01          0.007762     44      -0.047386          0.323934   5.500000
2018-01-01          0.002470     51      -0.021940          0.105562   6.000000
2020-01-01          0.013802     29      -0.009330          0.388667   6.000000
2020-05-01          0.007762     44      -0.047386          0.323934   6.000000
2018-01-01          0.002470     51      -0.021940          0.105562   6.500000
2020-01-01          0.013802     29      -0.009330          0.388667   6.500000
2020-03-01          0.018344     14      -0.015188          0.251220   6.500000
2020-05-01          0.003018     77      -0.088691          0.201581   6.500000
2020-08-01          0.009217     19      -0.057719          0.167529   6.500000
2021-02-01          0.000617     28      -0.030296          0.006076   6.500000
2018-01-01          0.002470     51      -0.021940          0.105562   7.000000
2020-01-01          0.013802     29      -0.009330          0.388667   7.000000
2020-03-01          0.018344     14      -0.015188          0.251220   7.000000
2020-05-01          0.003018     77      -0.088691          0.201581   7.000000
2020-08-01          0.009217     19      -0.057719          0.167529   7.000000
2021-02-01          0.000617     28      -0.030296          0.006076   7.000000
2018-01-01          0.001452     97      -0.018187          0.102007   7.500000
2018-05-01          0.002355    100      -0.034292          0.195509   7.500000
2020-01-01          0.013802     29      -0.009330          0.388667   7.500000
2020-03-01          0.018344     14      -0.015188          0.251220   7.500000
2020-05-01          0.003018     77      -0.088691          0.201581   7.500000
2020-08-01          0.009217     19      -0.057719          0.167529   7.500000
2021-02-01          0.000617     28      -0.030296          0.006076   7.500000
2018-01-01          0.001452     97      -0.018187          0.102007   8.000000
2018-05-01          0.002355    100      -0.034292          0.195509   8.000000
2020-01-01          0.013802     29      -0.009330          0.388667   8.000000
2020-03-01          0.018344     14      -0.015188          0.251220   8.000000
2020-05-01          0.003018     77      -0.088691          0.201581   8.000000
2020-08-01          0.009217     19      -0.057719          0.167529   8.000000
2021-02-01          0.000617     28      -0.030296          0.006076   8.000000
2018-01-01          0.001452     97      -0.018187          0.102007   8.500000
2018-05-01          0.002355    100      -0.034292          0.195509   8.500000
2020-01-01          0.013802     29      -0.009330          0.388667   8.500000
2020-03-01          0.018344     14      -0.015188          0.251220   8.500000
2020-05-01          0.003018     77      -0.088691          0.201581   8.500000
2020-08-01          0.009217     19      -0.057719          0.167529   8.500000
2021-02-01          0.000617     28      -0.030296          0.006076   8.500000
2018-01-01          0.001452     97      -0.018187          0.102007   9.000000
2018-05-01          0.002355    100      -0.034292          0.195509   9.000000
2020-01-01          0.013802     29      -0.009330          0.388667   9.000000
2020-03-01          0.018344     14      -0.015188          0.251220   9.000000
2020-05-01          0.003018     77      -0.088691          0.201581   9.000000
2020-08-01          0.009217     19      -0.057719          0.167529   9.000000
2020-10-01          0.000836     57      -0.016396          0.024832   9.000000
2021-02-01          0.000617     28      -0.030296          0.006076   9.000000
2018-01-01          0.001452     97      -0.018187          0.102007   9.500000
2018-05-01          0.002355    100      -0.034292          0.195509   9.500000
2020-01-01          0.013802     29      -0.009330          0.388667   9.500000
2020-03-01          0.016181     17      -0.008221          0.268271   9.500000
2020-08-01          0.018660     20      -0.046071          0.365208   9.500000
2020-10-01          0.000836     57      -0.016396          0.024832   9.500000
2018-02-01          0.009679     84      -0.024955          0.779458  10.000000
2018-05-01          0.002985    111      -0.024966          0.286946  10.000000
2020-01-01          0.013802     29      -0.009330          0.388667  10.000000
2020-03-01          0.016181     17      -0.008221          0.268271  10.000000
2020-08-01          0.018660     20      -0.046071          0.365208  10.000000
2020-10-01          0.000836     57      -0.016396          0.024832  10.000000
2018-02-01          0.009679     84      -0.024955          0.779458  10.500000
2018-05-01          0.002985    111      -0.024966          0.286946  10.500000
2020-01-01          0.013802     29      -0.009330          0.388667  10.500000
2020-03-01          0.016181     17      -0.008221          0.268271  10.500000
2020-08-01          0.018660     20      -0.046071          0.365208  10.500000
2020-10-01          0.000836     57      -0.016396          0.024832  10.500000
2022-05-01          0.013161     29      -0.004109          0.370080  10.500000
