mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,k_percent
-0.0006696773411076043,39.85,-0.07257471408417872,-1.4872685754512232,1.0
-0.0006696773411076043,39.85,-0.07257471408417872,-1.4872685754512232,1.5
-0.0006696773411076043,39.85,-0.07257471408417872,-1.4872685754512232,2.0
8.602701831976729e-05,54.3,-0.08771207734741394,-1.506445423172798,2.5
-0.0009749495050353511,75.45,-0.13015540401058354,-1.8612828100031595,3.0
-0.0009910315919272972,77.5,-0.13697297309032258,-1.7598156080910425,3.5
-0.0009910315919272972,77.5,-0.13697297309032258,-1.7598156080910425,4.0
-0.0009910315919272972,77.5,-0.13697297309032258,-1.7598156080910425,4.5
-0.0012722197825076483,86.61666666666666,-0.16014506330891526,-1.9469188883340167,5.0
-0.0012071741263798078,91.0,-0.16349797226271823,-1.8603855765182875,5.5
-0.001414665372583342,107.98333333333333,-0.20755328721550492,-1.8761348819021595,6.0
-0.001392073632619329,108.45,-0.207981563747892,-1.8466377543272714,6.5
-0.0013656873953245816,113.46666666666667,-0.21713982511961685,-1.8509348025225267,7.0
-0.001301357360932351,115.26666666666667,-0.22495631706041858,-1.8894151110767712,7.5
-0.0013141424250948696,117.98333333333333,-0.22657126596420638,-1.921576724902134,8.0
-0.001261569219154652,120.61666666666666,-0.22308629529484678,-1.8265033570207052,8.5
-0.0013072150077712748,122.46666666666667,-0.22741442978265747,-1.8665320177534652,9.0
-0.0013160329954534813,123.98333333333333,-0.23376552069905068,-1.865275197530417,9.5
-0.0013131922731071735,126.08333333333333,-0.23105103354457282,-1.7771282305085532,10.0
-0.001381558708675654,127.73333333333333,-0.23617459441901154,-1.8779414464415192,10.5
-0.0014837171205671152,128.61666666666667,-0.241068618148532,-2.0058782601182004,11.0
-0.0015561291698631134,136.48333333333332,-0.26577673195315327,-2.134351060307688,11.5
-0.0016674161824442922,140.5,-0.2900208074828659,-2.296927184205256,12.0
-0.0016026277651427336,142.65,-0.2949065396970199,-2.2744723413675656,12.5
-0.001631936974335029,144.11666666666667,-0.30022158678204003,-2.3563031643931276,13.0
-0.0016333847216555924,144.13333333333333,-0.3003197168633408,-2.3580902894697844,13.5
-0.0016709456219135743,149.15,-0.3084891062586767,-2.3874591887628025,14.0
-0.0017411947134668066,153.9,-0.316856976091928,-2.494221139510245,14.5
-0.0017256215650678954,158.0,-0.31985681363727136,-2.5280878329555048,15.0
-0.0017059576372902574,158.73333333333332,-0.3203992803862449,-2.5427330353925406,15.5
-0.0016911940949558568,159.6,-0.32361526826940457,-2.5258520458472304,16.0
-0.0016755213017648747,159.95,-0.32183011336609774,-2.5023962884856954,16.5
-0.0017393920294633347,164.05,-0.3363589756399999,-2.5971694325756394,17.0
-0.0016977752619519871,167.48333333333332,-0.33106079881418926,-2.5512601468761797,17.5
-0.00153238592091626,170.58333333333334,-0.320715107663643,-2.373574518171988,18.0
-0.0016020818616533394,173.8,-0.3396492963688834,-2.4255200908730914,18.5
-0.0015994677182300766,175.38333333333333,-0.3426310367470392,-2.4302625249342125,19.0
-0.001603909166629569,178.05,-0.35558161411281625,-2.4177796383919854,19.5
-0.0015947174409788524,178.83333333333334,-0.3556395709117112,-2.434407136384127,20.0
-0.0016209792128953045,179.83333333333334,-0.36243677225180926,-2.5116563196770985,20.5
-0.0015880743437750886,181.28333333333333,-0.3669800609773086,-2.4970019162916466,21.0
-0.0015787416711911344,181.95,-0.3664111812320382,-2.4827115301547424,21.5
-0.0015698816739851149,182.85,-0.3666464445487562,-2.443709754523636,22.0
-0.0015629095038056993,183.3,-0.36847379973818223,-2.478924419843945,22.5
-0.0015445687091766645,186.0,-0.3722083474671001,-2.449684208165904,23.0
-0.0014877976114595769,186.13333333333333,-0.3710738547435415,-2.410035247634028,23.5
-0.00147295467331108,187.2,-0.37464952925786593,-2.429636371843498,24.0
-0.001460522064498741,188.43333333333334,-0.37760532585218337,-2.4017197411989777,24.5
-0.001460522064498741,188.43333333333334,-0.37760532585218337,-2.4017197411989777,25.0
-0.0014648293019017466,190.2,-0.3859352820373301,-2.409406392085953,25.5
-0.001449015785229113,190.96666666666667,-0.38576609107195403,-2.3959800076846935,26.0
-0.0014326562717253655,191.36666666666667,-0.3873719742136539,-2.378100332728945,26.5
-0.0014396126545457607,191.85,-0.3896200188781481,-2.3911693761253128,27.0
-0.0014126462395133601,192.48333333333332,-0.38714281510992177,-2.362245069039641,27.5
-0.0014523264790137211,193.71666666666667,-0.3975401902565177,-2.4950826772534516,28.0
-0.0014521138307833407,193.73333333333332,-0.3974682078369017,-2.4948896296661323,28.5
-0.0014686696861944824,195.2,-0.39724574491753933,-2.5770272925724864,29.0
-0.0014797821989405145,195.45,-0.4003624644974693,-2.5833439164057204,29.5
-0.0014798923292443685,195.56666666666666,-0.39996698335875813,-2.586953977853891,30.0
-0.0014872976533883216,195.9,-0.4025905153815549,-2.588346211694129,30.5
-0.0014846118534543869,197.23333333333332,-0.4037331744634868,-2.5718103029222417,31.0
-0.0015007850541105007,197.65,-0.4065453144250149,-2.586090709222124,31.5
-0.0014967486767994273,198.08333333333334,-0.4073862433816682,-2.5998168015297125,32.0
-0.001520267578022126,198.4,-0.4093917225624344,-2.6143735619726867,32.5
-0.0015361713295239633,198.55,-0.41386015311618657,-2.6546758380278654,33.0
-0.0015354584550729112,198.73333333333332,-0.4131846737003299,-2.6603755950014745,33.5
-0.0015354584550729112,198.73333333333332,-0.4131846737003299,-2.6603755950014745,34.0
-0.0015672030850382782,200.13333333333333,-0.4174980791148003,-2.756038733596245,34.5
-0.0015680318392129813,200.21666666666667,-0.41794121562218367,-2.7521820882786727,35.0
-0.001575182962744437,200.75,-0.41910346055453973,-2.738971888779777,35.5
-0.001533890555243797,201.4,-0.41532033834572035,-2.7086576529966826,36.0
-0.0015341806954212017,202.0,-0.4170321776110057,-2.7112101016780645,36.5
