date,Company Name,Symbol,author,Sector,expected_return,actual_return,year
2022-05-01,5paisa capital limited,5PAISA,ICICI Direct,Finance,24.82662968099861,-0.0997126436781608,2022
2021-07-16,5paisa capital limited,5PAISA,ICICI Securities Limited,Finance,8.656283955088727,-0.0333938294010888,2021
2021-12-23,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,43.95151106995537,0.124223602484472,2021
2022-02-07,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,34.74640423921272,-0.1365638766519823,2022
2022-02-14,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,15.991471215351812,-0.036649214659686,2022
2022-05-26,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,58.77463341739049,0.0714285714285714,2022
2022-07-19,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,47.55959137343928,-0.051063829787234,2022
2022-08-04,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,43.47567705238134,-0.1134751773049645,2022
2022-11-14,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,46.76157834607609,-0.0545454545454545,2022
2023-02-10,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,16.397794568102928,-0.0751445086705202,2023
2023-05-12,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,17.030290192755768,0.0454545454545455,2023
2023-06-17,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,10.368864362474586,-0.012987012987013,2023
2023-08-02,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,19.791940314191145,0.0,2023
2023-09-11,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,14.665057332528662,-0.1101321585903083,2023
2023-11-09,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,25.33777956649227,0.0516431924882628,2023
2023-12-16,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,10.265935491479445,0.0380952380952381,2023
2024-02-06,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,13.9661267345539,-0.072463768115942,2024
2024-02-24,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,10.273744874210356,-0.0094043887147334,2024
2024-05-13,a2z infra engineering limited,A2ZINFRA,Axis Direct,Technology,10.784725136382711,0.0246478873239437,2024
2019-08-13,a2z infra engineering limited,A2ZINFRA,BOB Capital Markets Ltd.,Technology,77.4370208105148,-0.0533980582524272,2019
2019-09-25,a2z infra engineering limited,A2ZINFRA,BOB Capital Markets Ltd.,Technology,107.73073889034973,-0.0747663551401868,2019
2019-12-24,a2z infra engineering limited,A2ZINFRA,BOB Capital Markets Ltd.,Technology,64.80033805197549,-0.0189873417721519,2019
2019-12-26,a2z infra engineering limited,A2ZINFRA,BOB Capital Markets Ltd.,Technology,49.56855225311601,0.031446540880503,2019
2020-02-01,a2z infra engineering limited,A2ZINFRA,BOB Capital Markets Ltd.,Technology,63.06563391765184,-0.0647482014388489,2020
2019-05-27,a2z infra engineering limited,A2ZINFRA,Dolat Capital,Technology,67.58544652701211,-0.114441416893733,2019
2020-09-04,a2z infra engineering limited,A2ZINFRA,Dolat Capital,Technology,68.75479417028892,-0.1020408163265306,2020
2020-11-11,a2z infra engineering limited,A2ZINFRA,Dolat Capital,Technology,90.7911472907657,0.0,2020
